#log(r)	rho	sigma2	sigma2r	beta	gamma	kappa	dlnbetadlnr
  -0.959176003468815	   0.112560810902611	   0.107697403378944	   0.036113380593307	   0.008898895512084	  -0.507140889791880	  -0.231771094950284	 -19.808022421992057
  -0.811217203295374	   0.099587432455608	   0.112431145835788	   0.036843445976822	  -0.025795739987496	  -0.560171295401507	   0.114959296413233	  -3.579060799223444
  -0.663258403121934	   0.073809990971812	   0.111462000584259	   0.039055496987973	   0.073030569568951	  -0.987798123168842	   0.113014330716273	   2.697222382244571
  -0.515299602948493	   0.048942166192170	   0.110865797614752	   0.039909439237915	   0.111032881797203	  -1.406096969340079	   0.092491193492560	   1.324893954016198
  -0.367340802775052	   0.026007121213526	   0.110273913012652	   0.041619576680258	   0.175215826198457	  -2.040154659278844	   0.138660112012960	   1.369616164481362
  -0.219382002601611	   0.012085938419013	   0.107359687000387	   0.043918149937026	   0.277729854805723	  -2.473323405097021	   0.056547039782679	   1.027003770631737
  -0.071423202428170	   0.005242845151908	   0.097668883267554	   0.043344657401211	   0.373345769427803	  -2.734574849467230	  -0.072148545352239	   0.739195883801089
   0.076535597745270	   0.002127015843512	   0.086043911267951	   0.041745855631045	   0.469431696065625	  -2.976983335250271	  -0.169448078701029	   0.573826094141353
   0.224494397918711	   0.000844364982852	   0.072214863395394	   0.038430992610528	   0.560460601066915	  -3.073366977405926	  -0.272897407281026	   0.435771855843500
   0.372453198092152	   0.000324412614933	   0.059335602416705	   0.034460738795366	   0.639084005583129	  -3.223711571440485	  -0.317960858462546	   0.317216595868672
   0.520411998265593	   0.000117908804643	   0.049232614775407	   0.030819781734023	   0.701282228403047	  -3.456476042988558	  -0.272900789368494	   0.237664419299836
   0.668370798439033	   0.000041315595136	   0.042649458227634	   0.028618357994470	   0.754858398307214	  -3.553007483951760	  -0.409158756670805	   0.170513007556818
   0.816329598612474	   0.000015940395166	   0.032182794750522	   0.022686008277414	   0.790690668076618	  -3.115079900048963	  -0.732363823665593	   0.134940953306340
   0.964288398785915	   0.000006823165749	   0.022918829878178	   0.017077436693076	   0.828973361456814	  -2.772769549303390	  -0.868214619192412	   0.112326927491352
   1.112247198959356	   0.000002798584465	   0.015969708239342	   0.012386765674591	   0.855372150451670	  -3.024082632055297	  -0.920502446726811	   0.064662188662245
