#log(r)	rho	sigma2	sigma2r	beta	gamma	kappa	dlnbetadlnr
  -0.959176003468815	   0.171928279014331	   0.101975833178993	   0.034097312047214	   0.004635306182073	  -0.451010117330937	  -0.003734721226790	  -0.031024207020704
  -0.811217203295374	   0.143721832537688	   0.103042256687114	   0.035658115178473	   0.055135960336429	  -0.847704153567300	   0.128386115477599	   2.589736276391524
  -0.663258403121934	   0.087298624671694	   0.104091751110759	   0.037277347429414	   0.103820305242211	  -1.646897725536822	   0.155031145384366	   1.995426594754965
  -0.515299602948493	   0.043853099255250	   0.103224667086856	   0.039672504298351	   0.199040192792340	  -2.209366416514929	   0.129993327002044	   1.268064013283327
  -0.367340802775052	   0.019997309663857	   0.099767680363101	   0.040859682335422	   0.279142731163491	  -2.525563187360349	   0.021039165792879	   0.858659581064118
  -0.219382002601611	   0.008771020403849	   0.091368946211864	   0.040269648214160	   0.365535828299888	  -2.656142425658348	  -0.087769830675267	   0.614938379246034
  -0.071423202428170	   0.003814385836930	   0.081779850969538	   0.038404529083824	   0.435283768340977	  -2.706713313253749	  -0.149735935052260	   0.485851251292769
   0.076535597745270	   0.001599315848594	   0.071647811485607	   0.036275133796657	   0.512439045887004	  -2.856670452729110	  -0.213434126274082	   0.373863649952057
   0.224494397918711	   0.000640802599099	   0.061537283919967	   0.033026435025293	   0.568363208550366	  -3.008295315971329	  -0.305281919338322	   0.248196378387575
   0.372453198092152	   0.000260255217042	   0.052078363887086	   0.029271582877817	   0.610427951497075	  -3.006850223661429	  -0.325614793037829	   0.206605588251288
   0.520411998265593	   0.000097218493281	   0.044574476932655	   0.026405705520218	   0.655968832218367	  -3.314470427554703	  -0.248424064362123	   0.171460830413392
   0.668370798439033	   0.000036425088380	   0.040109575936656	   0.024714919479329	   0.688555399296317	  -3.239230273354661	  -0.382377561214129	   0.104962864313685
   0.816329598612474	   0.000015259248727	   0.031500882873306	   0.019841123049690	   0.706171878617563	  -2.759433826509742	  -0.744040778509856	   0.060153450564458
   0.964288398785915	   0.000007176248447	   0.022614140587659	   0.014460324808116	   0.718062495561422	  -2.488446727525826	  -0.835858529651627	   0.041667518743083
   1.112247198959356	   0.000002854689885	   0.017695367358547	   0.011445240845421	   0.726955221059137	  -3.100117895357027	  -0.791203129233164	  -0.052272509785537
