#log(r)	rho	sigma2	sigma2r	beta	gamma	kappa	dlnbetadlnr
  -0.959176003468815	   0.219419610298266	   0.092667324945941	   0.031726115342192	   0.039573409059889	  -0.821675923044388	   0.067257376882098	  -0.058715168540396
  -0.811217203295374	   0.145607099498362	   0.094684354453514	   0.032890231085150	   0.060600650564214	  -1.359926091528842	   0.225515376694068	   1.909876128816808
  -0.663258403121934	   0.081871899482968	   0.101786550646904	   0.036878385109711	   0.119970067234566	  -1.844978433228795	   0.265043552092283	   1.454163593498405
  -0.515299602948493	   0.040681449043013	   0.104613223531340	   0.039679838264295	   0.181783644951573	  -2.185922873539061	   0.146058672272137	   0.934023886277251
  -0.367340802775052	   0.020100597080394	   0.103249374043929	   0.040904190264335	   0.237912016144302	  -2.226822425191632	   0.023375754025410	   0.585809068017683
  -0.219382002601611	   0.009589349156338	   0.098552752815107	   0.040344023073372	   0.278595374141616	  -2.348995621816478	  -0.091163204437101	   0.404955300380528
  -0.071423202428170	   0.004453749603728	   0.090789946965742	   0.038349405627458	   0.316279607463615	  -2.470118130548550	  -0.169809989486840	   0.448325906209326
   0.076535597745270	   0.001947489985153	   0.080446251920411	   0.035820494038569	   0.377091814621647	  -2.675391674896694	  -0.198473417635279	   0.576614858401531
   0.224494397918711	   0.000834503510948	   0.069005788561590	   0.033410969632943	   0.467318378968100	  -2.796518430836105	  -0.260869683429111	   0.541269627577094
   0.372453198092152	   0.000326421495583	   0.056389205379703	   0.029766134601769	   0.552795968739056	  -3.162751150363661	  -0.305272844010314	   0.442654159268528
   0.520411998265593	   0.000117371213019	   0.046756945392691	   0.027098982223808	   0.637293330676953	  -3.486338518147687	  -0.249386350846077	   0.347715276360859
   0.668370798439033	   0.000042180538368	   0.039777575481255	   0.025071722946986	   0.706724333118931	  -3.461901882714217	  -0.370158624481192	   0.260668387599336
   0.816329598612474	   0.000015937485977	   0.030348367444791	   0.020652429149669	   0.765259131871233	  -3.222055548042238	  -0.634760437299784	   0.210999310232307
   0.964288398785915	   0.000006510108024	   0.021748696861105	   0.015965537268541	   0.818886157875834	  -2.968743412226387	  -0.790080014988812	   0.148927519884324
   1.112247198959356	   0.000002512421873	   0.015458022032436	   0.011890290435156	   0.849972899453713	  -3.260194922759937	  -0.812702842861558	   0.083351681334253
