#log(r)	rho	sigma2	sigma2r	beta	gamma	kappa	dlnbetadlnr
  -0.959176003468815	   0.255387523297921	   0.109497937283887	   0.037923323940638	   0.056324632101253	  -0.844871076934576	   0.144509781300615	   2.676776734016601
  -0.811217203295374	   0.171637154985671	   0.111869403416286	   0.040581215062369	   0.121660252849071	  -1.351144811588831	   0.207236173038536	   1.561089455124725
  -0.663258403121934	   0.094297473814814	   0.114817684337723	   0.043765116347933	   0.188251124195330	  -1.909509850525207	   0.210235610267248	   1.228973384836486
  -0.515299602948493	   0.046560150586248	   0.114390542422517	   0.046972524978726	   0.282367538531027	  -2.243220916160152	   0.067307687246688	   0.701248954415912
  -0.367340802775052	   0.021746719552780	   0.107935885965537	   0.045961276887834	   0.325795394795612	  -2.439565906926015	  -0.058914874789264	   0.522428505304633
  -0.219382002601611	   0.009708086381553	   0.099147630934680	   0.045091595319729	   0.400597436931891	  -2.612213256560715	  -0.115711664727580	   0.526967034875484
  -0.071423202428170	   0.004131106134663	   0.087008039652433	   0.042336942561021	   0.472433595942518	  -2.784491446280006	  -0.201104335132691	   0.382264762091481
   0.076535597745270	   0.001717700545647	   0.076314066807186	   0.039177389504616	   0.526044514806247	  -2.888305328333762	  -0.260615580032128	   0.276674854207537
   0.224494397918711	   0.000684861801975	   0.065305881719781	   0.035244572639939	   0.573532790609350	  -3.048756907726332	  -0.321625758119991	   0.269180661377702
   0.372453198092152	   0.000267322385861	   0.054262152606761	   0.031303332008543	   0.633284715634235	  -3.131985450249068	  -0.330287739433359	   0.236531448646587
   0.520411998265593	   0.000103280313954	   0.046158454454251	   0.028062686263610	   0.677583107678006	  -3.193238764134900	  -0.270473395850840	   0.180288247576385
   0.668370798439033	   0.000038233272158	   0.040705003723469	   0.026030920436715	   0.718141290423654	  -3.309464208546466	  -0.411272945966995	   0.092392436452926
   0.816329598612474	   0.000015387237347	   0.032025172209594	   0.020626073345870	   0.723672589722295	  -2.920159529657942	  -0.752126261079935	   0.046862758320366
   0.964288398785915	   0.000007021190067	   0.023135458296450	   0.015254790477234	   0.741698588683445	  -2.568096461215781	  -0.830340053082444	   0.057342201225065
   1.112247198959356	   0.000002862242033	   0.017665014843119	   0.011827388862458	   0.753215775326749	  -3.018873661928485	  -0.823197601466655	  -0.030201207137273
