#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -1.327009138233370411e-01 1.073119734161322558e+00 -9.690423149415535731e-01 -5.969792604446411133e-03 8.171616960822593312e-02 2.556109846683970663e-02 8.171616960822593312e-02 1.356298128809661774e-02
-8.257872369262934109e-01 -5.400072352623030980e-02 6.032678954508841757e-02 9.405558167383733671e-04 4.900358708388647712e-03 1.493525916316219004e-01 2.669056237181124946e-02 1.493525916316219004e-01 1.618501152378239508e-02
-5.638824750215315484e-01 -2.045506722084655671e-02 -2.670954490960350536e-01 -1.730853260488005030e-01 1.367483198483501836e-03 2.729716374865001627e-01 2.559011192695434186e-02 2.729716374865001627e-01 1.458662807142182410e-02
-3.019777131167696860e-01 -1.010900952511095685e-01 -7.109070137043836946e-01 -2.745461829122963215e-01 3.924678300255797568e-04 4.989100895942188418e-01 2.166177209498131376e-02 4.989100895942188418e-01 1.172751164761477033e-02
-4.007295121200771942e-02 -4.597760504836867490e-02 -1.767411580968999862e+00 -2.770563163205462809e-01 -8.132199329962436392e-04 9.118576559486750721e-01 1.837647804648772157e-02 9.118576559486750721e-01 6.188352517427962718e-03
2.218318106927542055e-01 -6.766550366199486355e-02 -2.704925211726451284e+00 -3.325721199864376532e-01 -8.161367270084196319e-05 1.666601662412735996e+00 1.550848038747332583e-02 1.666601662412735996e+00 1.391293814600412558e-03
4.837365725975161235e-01 -7.397471690711410197e-02 -2.891671253990594437e+00 -4.727766778047321483e-01 -4.599383428704578421e-04 3.046046806798136330e+00 1.230432620270570203e-02 3.046046806798136330e+00 2.369787793123234070e-04
7.456413345022779859e-01 -7.047967676954036698e-02 -2.810457582486048711e+00 -6.174028635214744432e-01 -9.415431999397771718e-04 5.567257826787955111e+00 8.768480059668503149e-03 5.567257826787955111e+00 4.253377327868910189e-05
1.007546096407039737e+00 -3.380908183027186986e-02 -2.872907281925846323e+00 -5.820007701661591426e-01 -2.480702476789527341e-04 1.017527361718764034e+01 5.843275141367529867e-03 1.017527361718764034e+01 7.990335410895929499e-06
1.269450858311801600e+00 1.190844676315112594e-01 -2.761480593747791090e+00 -5.584870411016281677e-01 -2.760743835569900995e-03 1.859734116973173812e+01 4.345770348903864669e-03 1.859734116973173812e+01 1.330079857078206625e-06
1.531355620216563906e+00 3.616605523093395780e-01 -2.610364427082761729e+00 3.807265853292500779e-01 2.743594377994688742e-03 3.399034872135383978e+01 2.979308703296926729e-03 3.399034872135383978e+01 2.858085227958020404e-07
1.793260382121325769e+00 8.235143880207775879e-01 -3.014069279370461985e+00 7.492214189360637544e-01 3.762628716049859490e-02 6.212413891076156602e+01 6.878519673777529035e-03 6.212413891076156602e+01 5.708788703355031506e-08
2.055165144026087631e+00 9.421246423441294038e-01 -3.107313196223903340e+00 3.956114421348416732e-01 4.420910132859281333e-02 1.135442494880611122e+02 7.354697587247380382e-03 1.135442494880611122e+02 7.538361868840459322e-09
2.317069905930849494e+00 9.872260443076483760e-01 -2.786128562623103377e+00 7.664656210191960195e-01 7.934553946489994458e-02 2.075247531450898464e+02 1.108459997844194085e-02 2.075247531450898464e+02 1.345562029770796938e-09
2.578974667835611356e+00 9.961779336903346938e-01 -2.846237035787904546e+00 1.001571480814616111e+00 1.200983921598563903e-01 3.792928603791494879e+02 1.853731423517134339e-02 3.792928603791494879e+02 2.617437412117657592e-10
2.840879429740373219e+00 9.988509291527216671e-01 -3.356695198202412467e+00 1.234448438063358688e+00 1.826035026622938040e-01 6.932333215884656283e+02 3.709818864813559797e-02 6.932333215884656283e+02 4.345278902676654691e-11
3.102784191645135081e+00 9.996585953003704894e-01 -4.580810909727833113e+00 1.341238418243055897e+00 2.799045953999317327e-01 1.267022104450334609e+03 8.216042184632293965e-02 1.267022104450334609e+03 4.566751628632312267e-12
3.364688953549896944e+00 9.998848102753743472e-01 -7.781215372217515913e+00 1.368947802598844854e+00 4.275386244988786943e-01 2.315735500837276959e+03 1.870277987911648787e-01 2.315735500837276959e+03 1.731989583166336539e-13
