#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.292765632684684141e+00 5.128800110761725373e-01 3.602950610763368200e+00 2.326554244079013500e+01 -1.076037188371022496e-01 5.096058059891731690e-02 3.793844332297642563e-02 5.096058059891731690e-02 8.863539765775267990e-03
-1.233841123305862597e+00 -4.290599727048534096e-01 3.602950610763357098e+00 -2.715166338785231392e+00 2.869578344481331714e-02 5.836585833544889745e-02 1.593405327626637100e-02 5.836585833544889745e-02 1.769925246143970107e-02
-1.174916613927040832e+00 -9.631590415538582306e-01 -2.999999999999998224e+00 3.666639042973744989e+00 -1.657127531675191973e-02 6.684722542792351230e-02 1.815932989120483398e-02 6.684722542792351230e-02 2.356195876380219600e-02
-1.115992104548219288e+00 5.040518998831503561e-01 -1.306542073840892382e+00 9.867830287466513584e-01 3.766638040542602539e-02 7.656105255454827285e-02 4.309591225215366611e-02 7.656105255454827285e-02 7.841657465430057483e-03
-1.057067595169397523e+00 1.718542685054497143e-01 8.379417644942753762e-01 -3.574977510301838191e+00 5.109094381332397738e-02 8.768643321749283737e-02 2.373510897159576694e-02 8.768643321749283737e-02 1.652862361755273735e-02
-9.981430857905757570e-01 -8.628338182538364265e-01 -1.656085108876380330e-01 -6.503315346771548766e-01 -4.306997193230522464e-02 1.004284856837310558e-01 1.633535159958733260e-02 1.004284856837310558e-01 9.843702560929680490e-03
-9.392185764117539915e-01 -5.338611045704215741e-01 1.458466772428180125e+00 1.762721489372176098e+00 3.404808895928518927e-03 1.150221347435912145e-01 1.989529104459853218e-02 1.150221347435912145e-01 1.580228498265969644e-02
-8.802940670329324480e-01 -2.320474631194728854e-01 9.667193173334948098e-02 8.726547982067784925e-01 1.495088379958580196e-02 1.317364430111690743e-01 2.635502815246582031e-02 1.317364430111690743e-01 1.462302964830539467e-02
-8.213695576541106824e-01 5.384427459259033544e-02 3.114673683308530339e-01 1.208150869355389956e-01 -1.222591102123260498e-02 1.508795716226433714e-01 2.521110077699025356e-02 1.508795716226433714e-01 1.622230573136132503e-02
-7.624450482752889169e-01 -7.859314178289000807e-04 4.403152730039763818e-02 -1.476669057908036875e-01 4.725881502137961772e-03 1.728044617927197713e-01 2.723337234334742563e-02 1.728044617927197713e-01 1.591268567743834780e-02
-7.035205388964672624e-01 -7.035565291113687891e-02 -1.791155885713054119e-01 -1.404022480505198178e-01 -6.204348091685444114e-03 1.979153419798685976e-01 2.422085158321835713e-02 1.979153419798685976e-01 1.641729697577605507e-02
-6.445960295176456079e-01 1.653879178047990006e-02 -7.554911816262903645e-01 3.369386466434298733e-01 -1.185371228401234552e-02 2.266751806327409469e-01 2.621531960190526603e-02 2.266751806327409469e-01 1.515775516650595851e-02
-5.856715201388238423e-01 9.469698398881032375e-02 9.435145365192208755e-02 -9.620540997329471433e-02 1.367180824279785184e-02 2.596142219237967952e-01 2.653977870941162318e-02 2.596142219237967952e-01 1.337419835057070995e-02
-5.267470107600021878e-01 -6.473104092008519217e-04 1.500469550429649468e-01 -1.490831551539030797e-01 -1.268953853486943573e-04 2.973397618431773970e-01 2.553979715166938835e-02 2.973397618431773970e-01 1.555084935023611642e-02
-4.678225013811804778e-01 1.728877094590064445e-02 -4.088042486286723176e-01 8.963905401562988207e-02 -9.805778852793864409e-03 3.405473448943341919e-01 2.548754431061343861e-02 3.405473448943341919e-01 1.392998492020581548e-02
-4.088979920023588788e-01 5.682271990081189106e-02 -4.201811542614150574e-01 -7.842207312145614562e-02 3.042517188933828009e-03 3.900335878245125842e-01 2.616864996991993472e-02 3.900335878245125842e-01 1.391800328209287334e-02
-3.499734826235372243e-01 9.539723921070186741e-02 -5.504917593104134976e-01 -3.017283165100940190e-01 6.743702308210746928e-04 4.467108668207760425e-01 2.495088930483217726e-02 4.467108668207760425e-01 1.242890045077312162e-02
-2.910489732447154032e-01 9.250291691012768602e-02 -4.505104035100268023e-01 -1.511024847337498755e-01 -6.644135413159411863e-03 5.116241389589061273e-01 2.411142799260409045e-02 5.116241389589061273e-01 1.198676582294642620e-02
-2.321244638658938042e-01 1.529899006576955767e-01 -6.733367205365862196e-01 -2.173954667896747794e-01 -3.363572925755632746e-03 5.859702080416635539e-01 2.394852388075690772e-02 5.859702080416635539e-01 1.099867832510584807e-02
-1.731999544870721219e-01 1.389925953479539400e-01 -9.164300422151666625e-01 -4.410748668163546049e-01 -5.277184159727450752e-03 6.711197900300193142e-01 2.273019123985300927e-02 6.711197900300193142e-01 9.985043221194637997e-03
