#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.351690142063505906e+00 -5.497976462143500953e+01 4.171023135561267914e+00 9.186412792348459533e+00 -1.219848915934562683e-02 4.449486136317903906e-02 2.976057294290512800e-04
-1.292765632684684141e+00 5.234231776412893167e-01 2.108739959609688075e+00 1.995116725162558424e+01 3.364032134413719177e-03 5.096058059891731690e-02 7.824227213859558105e-02
-1.233841123305862597e+00 5.647157578952373136e-01 -4.239959714715579864e+00 -4.924222977814465274e-01 -5.153887271881103793e-02 5.836585833544889745e-02 6.681389212608337957e-02
-1.174916613927040832e+00 3.848736653208497671e-01 2.108739959609672976e+00 -1.096725014978954915e+00 -1.351684530576069965e-01 6.684722542792351230e-02 6.845575571060180664e-02
-1.115992104548219288e+00 3.369958029868668214e-01 -1.760040285284424133e+00 -2.346442901295140882e+00 5.179303533890668165e-02 7.656105255454827285e-02 4.961566364063935836e-02
-1.057067595169397523e+00 3.141153914876926301e-01 -2.565948677497474684e+00 1.469443306404965899e+00 -1.447705831378698349e-02 8.768643321749283737e-02 3.621462360024452209e-02
-9.981430857905757570e-01 5.384982652555370120e-01 2.108739959609676529e+00 1.011859301472905370e+00 9.567919530366595510e-03 1.004284856837310558e-01 7.392498693968120593e-02
-9.392185764117539915e-01 -3.070252954107011156e-02 -6.562688866593955339e-01 -7.245778980287207460e-01 -3.474134412305108360e-02 1.150221347435912145e-01 4.765742811663397499e-02
-8.802940670329324480e-01 9.955216656599519265e-02 2.698692396963429663e-01 7.122333809772328772e-01 -2.421380792345319277e-02 1.317364430111690743e-01 6.072960581098283545e-02
-8.213695576541106824e-01 2.932901310572494369e-01 1.522558420963478376e+00 -6.187663437930150945e-01 -7.991783860800922429e-03 1.508795716226433714e-01 5.781847152157106040e-02
-7.624450482752889169e-01 -8.621891970948936113e-02 -6.979459726547234677e-01 -2.027660156617480947e-01 3.782871441963391815e-03 1.728044617927197713e-01 5.134278892451881599e-02
-7.035205388964672624e-01 2.264765778568207377e-01 -5.097216687304768623e-01 -2.920514026124175211e-01 8.866079151630401611e-03 1.979153419798685976e-01 5.472311750054359436e-02
-6.445960295176456079e-01 -1.865769403130790316e-02 1.677610700470374694e-01 -9.414430687276169329e-02 1.725639942952118464e-02 2.266751806327409469e-01 4.743091300064819493e-02
-5.856715201388238423e-01 -5.487102266220711400e-02 -8.412389277371827567e-02 5.189854336558998860e-01 -5.809864728553746716e-04 2.596142219237967952e-01 5.334282555057361097e-02
-5.267470107600021878e-01 9.183441291452687505e-02 2.770880018527466238e-01 -1.237808264130983368e-02 -2.414584159851074219e-02 2.973397618431773970e-01 5.460386806064181781e-02
-4.678225013811804778e-01 7.931230155532242865e-02 -6.322366368293108607e-02 -3.751400166265714820e-01 -7.214974769978451524e-03 3.405473448943341919e-01 5.316395374720791350e-02
-4.088979920023588788e-01 9.854437730757226177e-03 -4.582721488969312418e-01 5.954599335613102590e-02 -2.533685766167158293e-03 3.900335878245125842e-01 4.931891636861256145e-02
-3.499734826235372243e-01 7.950268079406286326e-02 -3.736899434184019486e-01 1.492616498940909087e-01 4.854145613345471448e-03 4.467108668207760425e-01 5.402996775868175450e-02
-2.910489732447154032e-01 5.475579040134803677e-02 -2.369961019975711652e-02 -3.869832125972503811e-01 2.683755332668674633e-03 5.116241389589061273e-01 5.135749880556585156e-02
-2.321244638658938042e-01 1.712801321620205375e-02 -2.035968833203828099e-01 -3.562769636789045458e-01 1.866048019306332500e-03 5.859702080416635539e-01 4.864398170919979197e-02
-1.731999544870721219e-01 8.723143875063232855e-03 -1.651953451277949625e-01 -2.663807199002203308e-01 1.430229609123427788e-03 6.711197900300193142e-01 4.662479916897785404e-02
-1.142754451082503564e-01 2.829409550540329388e-02 -4.388133309383290825e-01 -2.777122377992839453e-01 -1.269592237492845428e-03 7.686427848869629154e-01 4.525185741688333985e-02
-5.535093572942868800e-02 -3.597012319219938803e-03 -5.978765301647425146e-01 -4.359507618000546536e-01 8.365700418926365171e-04 8.803372207700188579e-01 4.324031603090353060e-02
3.573573649392941358e-03 -3.239433787683099197e-03 -7.058313353098916165e-01 -4.678286074426666330e-01 2.269637615558089223e-04 1.008262404215570562e+00 4.020314613537041837e-02
6.249808302821469735e-02 1.782305467378231256e-02 -8.978088271957590516e-01 -4.789545307788583006e-01 4.755992676110751705e-04 1.154776887503816907e+00 3.808515409277219571e-02
1.214225924070364004e-01 5.193359106930639513e-03 -1.301630183918906836e+00 -4.999610298452740742e-01 1.634616765645668371e-03 1.322581953207384586e+00 3.530333380007476957e-02
1.803471017858580550e-01 2.551923253654642121e-02 -1.836446721336634447e+00 -4.051102809594175347e-01 1.713888938431941964e-04 1.514771417646751717e+00 3.325338038907769966e-02
2.392716111646797927e-01 3.121736032692190577e-02 -2.221758158623806434e+00 -3.869917908700474807e-01 6.198290210051790594e-04 1.734888671477102129e+00 3.162815583630734784e-02
2.981961205435014750e-01 1.980843314000002575e-02 -2.561841712401599747e+00 -3.358498933049731683e-01 -7.474060470680212939e-04 1.986992009061980813e+00 2.993844211207169134e-02
3.571206299223231295e-01 1.627495589611194227e-02 -2.821315506799045192e+00 -2.869610366883783015e-01 -2.506774899450932162e-04 2.275729451109206991e+00 2.887315814435616190e-02
4.160451393011448395e-01 2.579282579945252341e-02 -2.957231125613230649e+00 -3.266902478381805142e-01 -2.254322712338287379e-04 2.606424440071446913e+00 2.769562185515101957e-02
4.749696486799664941e-01 1.452465795761859191e-02 -2.996150116864636281e+00 -4.562221241135193117e-01 -1.238090767175934175e-03 2.985173988274651524e+00 2.642373251839662263e-02
5.338941580587880376e-01 3.102279465578394735e-03 -2.939916390299479598e+00 -5.888876112627952075e-01 6.258905406272954669e-04 3.418961088328082099e+00 2.447066610389002014e-02
5.928186674376098031e-01 1.560935693452358830e-02 -2.966019607650758338e+00 -6.273742934826779249e-01 1.020734502552834663e-04 3.915783458322857236e+00 2.252134571485362932e-02
6.517431768164315686e-01 4.016883335299592517e-03 -3.059787647213707995e+00 -6.586481408177877750e-01 1.524894318091622215e-03 4.484800995489870878e+00 2.064003105270836858e-02
7.106676861952531121e-01 2.504376404532870914e-02 -3.096768875796438447e+00 -7.805384440738722951e-01 -1.523401349368900528e-04 5.136504656915215961e+00 1.883533288973201006e-02
7.695921955740748777e-01 -3.758438023294008445e-03 -3.182923988349259492e+00 -8.880284776031051042e-01 -1.086646969491550331e-03 5.882909880961139315e+00 1.670031475996790193e-02
