#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 1.843937889133540065e-02 -5.704539821694994822e-02 -1.059007746393038213e-01 -6.538679895474928949e-03 8.171616960822593312e-02 1.029605717622032457e-01 1.127997146908155668e-01 2.497041733576359501e-01
-8.257872369262934109e-01 3.641181537889948139e-03 -3.958396013178394068e-01 -1.137102908381359551e-01 -2.050999837217384793e-03 1.493525916316219004e-01 9.655712881745544263e-02 2.061639673659513838e-01 2.181009641121461062e-01
-5.638824750215315484e-01 -1.372807421290955787e-02 -8.285179160818577637e-01 -1.173719460102384954e-01 -2.142465770062107369e-04 2.729716374865001627e-01 8.976528463870424301e-02 3.768057530692478507e-01 1.549106398569439491e-01
-3.019777131167696860e-01 -1.278481383104157487e-03 -1.476300060846670981e+00 -1.178720730077897488e-01 -2.221716414243810143e-03 4.989100895942188418e-01 8.381153603137549146e-02 6.886876371274752717e-01 8.029195088831571347e-02
-4.007295121200771942e-02 5.029668286205435379e-03 -2.224871332290813797e+00 -2.246407148029222478e-01 -2.632136529135043379e-04 9.118576559486750721e-01 7.786923316526134231e-02 1.258713959829222295e+00 2.610845760007506067e-02
2.218318106927542055e-01 1.047011650768414626e-02 -2.823766509468079278e+00 -4.356351496830435099e-01 -1.852044525053580105e-04 1.666601662412735996e+00 6.391971858688977326e-02 2.300550710155550238e+00 5.486093653196898526e-03
4.837365725975161235e-01 -8.412603610605584592e-03 -3.212416932420989024e+00 -6.002732349290249569e-01 -1.642062425667454369e-04 3.046046806798136330e+00 4.604431937101240158e-02 4.204715081348011196e+00 8.662942369458818438e-04
7.456413345022779859e-01 1.988121381291207967e-02 -3.522022679572400783e+00 -7.157775053513767416e-01 -9.876686520719209043e-04 5.567257826787955111e+00 3.098888975325585562e-02 7.684955101085346740e+00 1.139117787613704681e-04
1.007546096407039737e+00 6.866002560401018862e-02 -3.687137833339814819e+00 -8.060414598009921772e-01 -2.360750486455890328e-03 1.017527361718764034e+01 1.941981030545262762e-02 1.404578758919469728e+01 1.238215974422088701e-05
1.269450858311801600e+00 1.662852541919889182e-01 -3.852634481976084935e+00 -1.040124208280752915e+00 6.376460195735098729e-04 1.859734116973173812e+01 1.172178695372054838e-02 2.567147711414910205e+01 1.334168617278385267e-06
1.531355620216563906e+00 1.709492759250594851e-01 -4.153560260503724066e+00 -1.199272174538292601e+00 -8.108253434693459341e-03 3.399034872135383978e+01 5.538829761642057037e-03 4.691974252332163076e+01 1.187817636186019637e-07
1.793260382121325769e+00 4.908510168484800928e-01 -5.200034641045969686e+00 6.372306886333307663e-01 1.541829456052329697e-02 6.212413891076156602e+01 2.759329964042573670e-03 8.575518380441907595e+01 8.902998468339332737e-09
2.055165144026087631e+00 9.830241777581754103e-01 -5.957680975335828855e+00 1.895562481030170332e+00 8.552867370752777199e-02 1.135442494880611122e+02 1.194553267831104104e-02 1.567346953294637331e+02 2.243479472097694783e-10
2.317069905930849494e+00 9.983685906334044402e-01 -7.236721619480642964e+00 1.559076509744749206e+00 1.595967499380299415e-01 2.075247531450898464e+02 2.714671712996401254e-02 2.864639037570800610e+02 6.742892935683804440e-12
