#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.233841123305862597e+00 1.695973590865189617e-01 1.616653155756457183e+00 4.845561495874251001e+00 -1.715291043122609341e-02 5.836585833544889745e-02 7.057397067546844482e-02 3.682636698364198657e-02 1.474937705119975032e-02
-1.174916613927040832e+00 -5.427471707146525048e-01 -1.267953481431204343e+00 -2.611501251510185195e+00 3.626495227217674255e-02 6.684722542792351230e-02 4.021235555410385132e-02 4.217774784187146297e-02 1.374447594555128042e-02
-1.115992104548219288e+00 -1.532197359951246174e-01 4.645678365805534088e-02 1.383490773665299045e+00 9.541862540774874446e-03 7.656105255454827285e-02 3.474415010876125837e-02 4.830675841042628843e-02 1.045554328724007664e-02
-1.057067595169397523e+00 2.136268158087063496e-01 1.991740389897590724e+00 2.814161891358037515e+00 2.927891121191136814e-02 8.768643321749283737e-02 5.853323726093067475e-02 5.532639904984908152e-02 1.391884094109704234e-02
-9.981430857905757570e-01 4.662576549187077424e-01 1.876685773127948764e-01 9.682764450720392213e-02 1.931853219866752625e-02 1.004284856837310558e-01 7.456377893686294556e-02 6.336609063717404955e-02 1.795028114051882770e-02
-9.392185764117539915e-01 -5.372316880833283292e-03 -3.866659318337828388e-01 -1.510229225580939527e+00 -7.559365951097928027e-03 1.150221347435912145e-01 6.009157498677571152e-02 7.257406069425928474e-02 1.464602022783093906e-02
-8.802940670329324480e-01 -1.933936090716787959e-01 5.251295084267058183e-02 8.184969466861968801e-02 -3.501258790493011475e-02 1.317364430111690743e-01 4.949358105659484863e-02 8.312007625359355001e-02 1.616229592707438267e-02
-8.213695576541106824e-01 -7.433020576015536562e-02 -5.344337606801530249e-01 6.083824636028373201e-01 1.341699334708127203e-02 1.508795716226433714e-01 6.144117225300182311e-02 9.519857384733217132e-02 1.485621682766774185e-02
-7.624450482752889169e-01 -8.330397628389496489e-03 -5.530771911806614538e-01 -6.316771781164880473e-01 -1.538764565221724910e-02 1.728044617927197713e-01 5.837758894889585187e-02 1.090322443270634739e-01 1.398043098803511755e-02
-7.035205388964672624e-01 -1.704542006209526228e-01 -5.520136480556985248e-01 -1.184499510085962742e-01 3.219492295209099020e-02 1.979153419798685976e-01 5.176270428825827108e-02 1.248761386075071950e-01 1.278582114703296149e-02
-6.445960295176456079e-01 -3.068878285672616002e-02 -2.544252233053370671e-01 3.708887336702434423e-01 4.993278781572977644e-03 2.266751806327409469e-01 5.653103590011596818e-02 1.430223700316023416e-01 1.203555975014925124e-02
-5.856715201388238423e-01 1.182163582440819427e-01 -7.203526406393090387e-02 -2.407772009907286348e-01 -2.358865003291966012e-03 2.596142219237967952e-01 5.724345402223389445e-02 1.638055000543303941e-01 1.193286870376734921e-02
-5.267470107600021878e-01 -4.633710778366029182e-02 -4.856949161344273347e-02 -1.509804091075097054e-01 6.758419972545695771e-03 2.973397618431773970e-01 5.295556266352815372e-02 1.876087065409442756e-01 1.180258150111177309e-02
-4.678225013811804778e-01 8.188077722339315301e-03 -2.654979201107490194e-01 3.277795182372542082e-01 -1.528928381970307004e-02 3.405473448943341919e-01 5.494560222481600226e-02 2.148708484043095890e-01 1.177662904234883824e-02
-4.088979920023588788e-01 6.276325057009224384e-02 -2.312495295960690922e-01 -7.602490767343587919e-02 5.913829203132244970e-04 3.900335878245125842e-01 5.788154053173476948e-02 2.460945568318366750e-01 1.098217446477640739e-02
-3.499734826235372243e-01 3.566164492609136261e-02 -6.615840723061174045e-02 3.099289886132370817e-02 5.195877923409805439e-04 4.467108668207760425e-01 5.382369106079536863e-02 2.818555022796820908e-01 1.106033968118031764e-02
-2.910489732447154032e-01 1.267987142799397171e-01 -1.792685396128161912e-01 2.923427908152540639e-02 6.069010728365415407e-03 5.116241389589061273e-01 5.837038585117885342e-02 3.228130080894767717e-01 1.078677538250531406e-02
-2.321244638658938042e-01 8.166654633226977378e-02 -1.954710083200077164e-01 -4.455669701430217677e-01 -3.500412377743965069e-03 5.859702080416635539e-01 5.425236914332641491e-02 3.697222064104743744e-01 1.053517717119865568e-02
-1.731999544870721219e-01 9.044148821240116654e-02 -2.864754824635082908e-01 -2.099970048490433783e-01 2.441613153739421397e-03 6.711197900300193142e-01 5.172290798384755056e-02 4.234479605454458118e-01 1.022952737313216620e-02
-1.142754451082503564e-01 1.096872735477767424e-01 -4.320244858128819976e-01 -2.009508856596345650e-01 -5.026727362037905662e-03 7.686427848869629154e-01 5.124727379536590799e-02 4.849808104061384961e-01 9.747224952009417992e-03
