#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -3.105962377910520544e-02 -1.183504296988183269e+00 5.094663093967072287e-01 -1.219562395351139576e-02 8.171616960822593312e-02 8.382296825018455133e-02 2.052617376738382626e-01 1.535523238688081493e+00
-8.257872369262934109e-01 -4.616879132144369180e-03 -1.406482904163137260e+00 2.463392663013344863e-01 -2.865510052799629184e-03 1.493525916316219004e-01 1.039171438612696147e-01 3.751567484302623656e-01 6.882596812196681846e-01
-5.638824750215315484e-01 -3.715463611774705299e-02 -1.647639592999005753e+00 1.321378100185253424e-01 -1.050091141866658353e-03 2.729716374865001627e-01 1.128230638420411325e-01 6.856737523892917352e-01 2.815316678551036400e-01
-3.019777131167696860e-01 1.046189361832409181e-01 -2.013939730296406605e+00 5.907773446729391864e-02 -3.398492969295227335e-03 4.989100895942188418e-01 1.218715248650039523e-01 1.253205484594947405e+00 9.434155241025858618e-02
-4.007295121200771942e-02 2.776115751759566930e-01 -2.412084903913212397e+00 -1.474983349343302885e-01 1.399341721003420939e-03 9.118576559486750721e-01 1.211555655692356237e-01 2.290482873445608192e+00 2.480883907854328219e-02
2.218318106927542055e-01 5.281917920754041207e-01 -2.825035057199149158e+00 -4.153255775951308904e-01 4.747002416986767330e-03 1.666601662412735996e+00 1.020096394350854807e-01 4.186314102545861893e+00 5.143159269904671975e-03
4.837365725975161235e-01 7.751426736097546399e-01 -3.215478120747010671e+00 -6.683462617220568003e-01 2.666213838215071748e-03 3.046046806798136330e+00 7.341619568183596622e-02 7.651323643739322833e+00 8.219136139175414399e-04
7.456413345022779859e-01 9.163955753891872558e-01 -3.496559358887270541e+00 -9.245682954738507764e-01 8.034203296722607383e-05 5.567257826787955111e+00 4.555699559805297810e-02 1.398431939582417805e+01 1.063976192288735179e-04
1.007546096407039737e+00 9.733941184341055042e-01 -3.706229708672167611e+00 -1.195986649026145487e+00 -2.436549008373988120e-04 1.017527361718764034e+01 2.407100359137987963e-02 2.555913173591104126e+01 1.211420953639506534e-05
1.269450858311801600e+00 9.914375629128971967e-01 -3.847182885109235340e+00 -1.286978973080381117e+00 -2.512323068060211880e-03 1.859734116973173812e+01 1.076678097167639223e-02 4.671440894640365826e+01 1.217793050575813845e-06
1.531355620216563906e+00 9.976782207893188925e-01 -4.212586562731592821e+00 -1.417396926797961143e+00 9.037834630466446643e-04 3.399034872135383978e+01 5.097560098125291858e-03 8.537989575544771981e+01 1.169779607712660131e-07
