#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.410614651442327672e+00 -2.510714883806934861e-01 -2.800752724994580056e+00 8.696925453700183883e-01 1.129980163371309236e-02 3.884949238138359767e-02 5.700794179388816996e-02
-1.351690142063505906e+00 2.189786612765057816e-01 -2.619747835927954238e+00 -6.220468851264550070e-01 3.188624748816856758e-02 4.449486136317903906e-02 6.309248239566117578e-02
-1.292765632684684141e+00 -2.208556110526116445e-01 -3.029601941168638679e-01 7.111309499747413554e-01 4.431154177739070332e-02 5.096058059891731690e-02 4.815348753562340850e-02
-1.233841123305862597e+00 -7.224534248769143296e-02 -6.821260772631299041e-02 1.901742019770158443e+00 -1.924546509981155465e-02 5.836585833544889745e-02 7.652153968811035989e-02
-1.174916613927040832e+00 -2.843840241994377571e-02 -9.711882340092994337e-01 6.093453042559098254e-01 2.195133660968981090e-02 6.684722542792351230e-02 8.067633812887625711e-02
-1.115992104548219288e+00 2.263830039349603584e-01 -2.005649150524325464e+00 3.893040140444990055e-02 4.908513331758803527e-02 7.656105255454827285e-02 9.028060194374858127e-02
-1.057067595169397523e+00 -1.680424110798099946e-01 -1.356429198692668203e+00 1.130662323665219682e-01 -1.102985151662122434e-03 8.768643321749283737e-02 8.153312478289508058e-02
-9.981430857905757570e-01 -4.115851130881331699e-02 -8.812379116342278218e-01 6.738482648061483449e-01 2.109294713929641893e-02 1.004284856837310558e-01 9.309346398641896170e-02
-9.392185764117539915e-01 -5.067269733649593100e-02 -1.272261111264116007e+00 5.298986981284561359e-01 1.654117577003710177e-02 1.150221347435912145e-01 9.789182923056863328e-02
-8.802940670329324480e-01 1.145640444213738007e-01 -1.408987391651502108e+00 2.893381778775386617e-02 1.681570965069028450e-02 1.317364430111690743e-01 1.074897944058343241e-01
-8.213695576541106824e-01 -1.165959228233748313e-02 -1.296347940362546636e+00 -2.427117185962524362e-02 1.447946214910798488e-02 1.508795716226433714e-01 9.866344282779787589e-02
-7.624450482752889169e-01 -1.411226613957095033e-02 -1.721248591279012974e+00 3.365316531339972994e-01 -3.182075041181900692e-03 1.728044617927197713e-01 1.067841754240148183e-01
-7.035205388964672624e-01 1.046768741882370124e-01 -1.405369595898960489e+00 -8.213135752562260306e-02 1.044899079857803011e-02 1.979153419798685976e-01 1.080976346643959668e-01
-6.445960295176456079e-01 -2.311846649190929526e-03 -1.227179874897710077e+00 2.252189235352396457e-01 -1.457823204823496289e-02 2.266751806327409469e-01 1.044306060863850055e-01
-5.856715201388238423e-01 1.133649465556533231e-01 -1.721871034807643808e+00 1.952172796846198266e-01 -1.105902318296761271e-02 2.596142219237967952e-01 1.149100517404490485e-01
-5.267470107600021878e-01 3.128435880290514337e-02 -1.573998163040474241e+00 8.837138526254637028e-02 1.404208573610973843e-02 2.973397618431773970e-01 1.101118256774129833e-01
-4.678225013811804778e-01 3.019551539272768981e-02 -2.033620146818639896e+00 1.409633926516430935e-01 -1.502381655691657943e-02 3.405473448943341919e-01 1.176989263531753316e-01
-4.088979920023588788e-01 3.334187567028401578e-02 -1.863689662480428444e+00 -3.578245903383166504e-01 -5.398792415470272249e-03 3.900335878245125842e-01 1.144053570635907013e-01
-3.499734826235372243e-01 -1.901778851407742721e-03 -1.742295163587930684e+00 1.157657880527968863e-01 2.217600844507899502e-03 4.467108668207760425e-01 1.068078626414150634e-01
-2.910489732447154032e-01 1.234762543254918077e-01 -2.026129724857248959e+00 1.594804352843603723e-01 3.110228703182710015e-03 5.116241389589061273e-01 1.180563210780600780e-01
-2.321244638658938042e-01 1.014809309457967990e-01 -2.213596393789293071e+00 -1.284351381818479299e-01 7.429709861909787301e-04 5.859702080416635539e-01 1.115315755208333426e-01
-1.731999544870721219e-01 7.888114893054520849e-02 -2.245296360764046817e+00 4.842172759147155003e-02 -1.905591111714961816e-02 6.711197900300193142e-01 1.140127157106723271e-01
-1.142754451082503564e-01 1.488414530724820883e-01 -2.289357112745110001e+00 -1.861848478241938665e-01 3.008455349033988934e-03 7.686427848869629154e-01 1.130067253305389596e-01
-5.535093572942868800e-02 1.771835159338398524e-01 -2.394890209652780211e+00 -8.737906112846487161e-02 -5.714420610778114286e-03 8.803372207700188579e-01 1.083955838107505398e-01
3.573573649392941358e-03 2.602677316112236294e-01 -2.498287622979514566e+00 -1.070843648598295839e-01 1.757695040883966225e-03 1.008262404215570562e+00 1.103587451576335254e-01
6.249808302821469735e-02 2.684857982309258873e-01 -2.557068165730010723e+00 -3.618922406278446968e-01 -5.099630675859899258e-03 1.154776887503816907e+00 1.052911335989932806e-01
