#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.136376397272773842e+00 2.145703448597692242e-01 -1.332937387252374428e+00 -3.397208173392169961e-01 6.002619490027427673e-02 7.305056894446010363e-02 2.303095348179340363e-02 7.305056894446010363e-02 4.337277391523482184e-02
-9.932740173527783156e-01 8.687719802048055051e-02 -4.734742900257676301e-01 -3.111268868139004939e-01 1.254063099622726440e-02 1.015607694753873913e-01 2.117118425667285919e-02 1.015607694753873913e-01 3.458623418007249900e-02
-8.501716374327827896e-01 -5.735106265309584117e-01 -4.722576771005757706e-02 2.675578126411309876e-01 2.073928870652851086e-02 1.411979406248690116e-01 1.876142934749000860e-02 1.411979406248690116e-01 3.174728589445153376e-02
-7.070692575127872637e-01 -1.503944562368042526e-02 -2.077536467045191793e-01 5.702263261825154528e-01 5.474614647199522316e-03 1.963047202151772530e-01 2.525349383084279226e-02 1.963047202151772530e-01 3.352640895339321220e-02
-5.639668775927917377e-01 2.080230748959213116e-01 -4.789523673954595995e-01 -7.431578637902838680e-02 1.356902285518809398e-02 2.729185922133187669e-01 2.731916435763367609e-02 2.729185922133187669e-01 2.768512702010892182e-02
-4.208644976727962117e-01 1.248140778062323264e-01 -8.451752052565332241e-01 -1.480573652167104792e-01 -7.157726408342161839e-03 3.794333518524381499e-01 2.404650367984702969e-02 3.794333518524381499e-01 2.445167366029149525e-02
-2.777621177528007412e-01 1.284389202332667512e-01 -1.363425506217235794e+00 4.263361655032728813e-03 9.173791643251409103e-04 5.275187275824964050e-01 2.477950852151979480e-02 5.275187275824964050e-01 1.586183229262062497e-02
-1.346597378328051875e-01 1.087802697724788992e-01 -1.738999378535148965e+00 4.547587438144773397e-02 -4.128270597639593052e-03 7.333989133840763674e-01 2.411415976985657045e-02 7.333989133840763674e-01 9.956110804597906316e-03
8.442642087190326342e-03 3.205668580621261476e-01 -2.254830655956029162e+00 -3.728413276192283493e-02 -1.773056191372892861e-03 1.019630087102126881e+00 2.553336773246069058e-02 1.019630087102126881e+00 5.042471523280220996e-03
1.515450220071858090e-01 3.235483798362406294e-01 -2.588700082275812164e+00 -7.338816031329185863e-02 1.545138427240674416e-03 1.417571659230745240e+00 2.352887907810368925e-02 1.417571659230745240e+00 2.252923551194614682e-03
2.946474019271813627e-01 4.609354871222819394e-01 -2.758681523593374152e+00 -9.854909218338202270e-02 -2.854246375398967941e-03 1.970822001501937315e+00 2.432786847573496433e-02 1.970822001501937315e+00 9.156830369023001527e-04
4.377497818471769442e-01 5.246944946858599357e-01 -2.816053076768893604e+00 -2.725817782467753747e-01 7.305906734050314488e-03 2.739995072779500163e+00 2.204936153622432532e-02 2.739995072779500163e+00 3.657620746160460882e-04
5.808521617671722481e-01 6.058168559218237714e-01 -2.927240913544446155e+00 -3.025252590178891809e-01 5.655121359477364692e-04 3.809361268107678722e+00 2.032777555184572468e-02 3.809361268107678722e+00 1.431453927254920861e-04
7.239545416871678851e-01 6.553629596362962051e-01 -3.041318601308093061e+00 -4.631107421108943689e-01 5.033843996474486561e-04 5.296080060552261770e+00 1.806391368549728482e-02 5.296080060552261770e+00 5.313838969278295113e-05
8.670569216071636331e-01 7.270050374060617049e-01 -2.887281344881229561e+00 -5.347306576081529705e-01 2.248938085891565800e-03 7.363035961593761947e+00 1.498115709411869910e-02 7.363035961593761947e+00 1.929023482725560553e-05
1.010159301527159270e+00 8.034529993632099076e-01 -2.909463274973485891e+00 -4.986525112632703149e-01 -9.083430288326194927e-04 1.023668410444490640e+01 1.269899610428944225e-02 1.023668410444490640e+01 7.926011999599949219e-06
1.153261681447154352e+00 8.689965410831405057e-01 -3.093341109062440974e+00 -6.229542831538443792e-01 -4.836085275850056397e-04 1.423186060760630944e+01 1.078521074889505528e-02 1.423186060760630944e+01 2.835536725792447520e-06
