#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.410614651442327672e+00 9.276749291658877850e-01 -1.722815010097577426e+00 -3.729152608680517567e+00 -1.736134663224220276e-02 3.884949238138359767e-02 6.028329953551292419e-04
-1.233841123305862597e+00 9.625479520895533492e-01 -4.456300201951733930e-01 1.014648368992084437e+00 -1.453359176715214932e-02 5.836585833544889745e-02 9.966186092545588088e-04
-1.174916613927040832e+00 -2.048253070102108442e+00 -4.456300201951606255e-01 7.780751336373876725e+00 -1.182973086833953927e-02 6.684722542792351230e-02 1.045556832104921428e-03
-1.115992104548219288e+00 3.475786895133969878e-02 -2.177676538763958280e+00 1.122354497764220582e+00 3.946714997291565080e-02 7.656105255454827285e-02 8.231574296951293598e-03
-1.057067595169397523e+00 -1.011157057230087197e+00 -1.157869769264181087e-02 -2.041777921764508452e+00 1.163953604797522082e-03 8.768643321749283737e-02 1.417803422858317621e-03
-9.981430857905757570e-01 -1.122285383228988298e+00 3.214678472029852241e+00 4.942763855057870082e+00 -1.887866407632828036e-02 1.004284856837310558e-01 4.730002582073212190e-03
-9.392185764117539915e-01 -5.617594120293987192e-01 7.649655797743853958e-01 -1.258864022369889701e+00 -6.043753985847745251e-03 1.150221347435912145e-01 5.421455417360577893e-03
-8.802940670329324480e-01 -8.448391350914672415e-01 -7.292450713793134920e-01 -4.483265193643461433e-01 -1.054105162620544434e-02 1.317364430111690743e-01 3.361286165622564496e-03
-8.213695576541106824e-01 -3.233546499412409680e-01 -9.167186082469884756e-01 2.129656558669420274e+00 8.234245520012051928e-03 1.508795716226433714e-01 4.800440049638934892e-03
-7.624450482752889169e-01 1.025598024978731093e-01 -1.813065328198452342e+00 1.627461738236722466e+00 2.031607760323418665e-02 1.728044617927197713e-01 5.990780724419488175e-03
-7.035205388964672624e-01 2.003608518974349106e-01 3.090736190407954442e-01 -5.722033235930716888e-01 -3.908664839608328237e-03 1.979153419798685976e-01 7.465790850775581855e-03
-6.445960295176456079e-01 -2.243354029810902261e-01 -6.941630704551859932e-01 -1.182520986100485061e+00 -4.739234206873342396e-03 2.266751806327409469e-01 5.129202243384965200e-03
-5.856715201388238423e-01 -7.914315621851586435e-02 -9.572668799915887705e-01 9.271690483849106545e-01 7.260834253751314964e-03 2.596142219237967952e-01 5.416476726531982942e-03
-5.267470107600021878e-01 1.173411481276295243e-01 -8.850416009554323837e-01 2.269591350301261579e-01 1.703303327005376098e-03 2.973397618431773970e-01 6.596533709732943333e-03
-4.678225013811804778e-01 1.869936752566629945e-01 -6.991809515209980175e-01 -8.493369174349447714e-01 -6.752218370852262896e-03 3.405473448943341919e-01 5.760547907456108063e-03
-4.088979920023588788e-01 3.436997050049861446e-02 -7.824100515202880857e-01 -2.839299333601674191e-01 -8.805902166800066164e-04 3.900335878245125842e-01 5.238684740933505050e-03
-3.499734826235372243e-01 3.611857169590571015e-02 -9.152871936232689354e-01 3.872365911175155717e-01 3.933399844567929231e-03 4.467108668207760425e-01 5.333384921271932047e-03
-2.910489732447154032e-01 1.598598627420025897e-01 -1.073697705678679615e+00 3.404770287075940538e-01 -8.374523846898980235e-04 5.116241389589061273e-01 5.819125398873127748e-03
-2.321244638658938042e-01 1.963622552329505888e-01 -1.953282060970709999e+00 -2.484378653235423673e-02 -6.434067112865934392e-03 5.859702080416635539e-01 5.849622126679244853e-03
-1.731999544870721219e-01 1.845116275148656060e-01 -1.667859968904507051e+00 -2.590041895170394626e-01 4.767464315224158311e-03 6.711197900300193142e-01 5.780027440574627209e-03
-1.142754451082503564e-01 1.439827977574513751e-01 -2.089856156296195255e+00 -3.437357926175167999e-01 6.004279363543706810e-03 7.686427848869629154e-01 5.452609838879237530e-03
-5.535093572942868800e-02 2.022122767828703482e-01 -2.320231372557874483e+00 1.562500284427672526e-01 -4.100478307375889889e-04 8.803372207700188579e-01 5.265273975328800364e-03
3.573573649392941358e-03 2.767739813657710268e-01 -2.207955223825005309e+00 2.109461721388100897e-01 2.961311434290092061e-03 1.008262404215570562e+00 5.688769476754324157e-03
6.249808302821469735e-02 3.186294134190185146e-01 -2.623252578279462899e+00 -2.989302302222810459e-01 -8.413430554735149263e-04 1.154776887503816907e+00 5.575460890319450073e-03
