#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 2.230376891275864804e-01 1.311955326961931345e-01 1.714313172535066876e+00 4.326201975345611572e-03 8.171616960822593312e-02 4.590781262287726636e-03 1.028745624742778420e-01 4.843921888605935526e-03
-8.257872369262934109e-01 1.001070284923072373e-01 3.448197640189280544e-01 1.629564915394723923e-01 -9.016970793406168042e-03 1.493525916316219004e-01 5.435725053151449146e-03 1.880237729223656895e-01 8.661096853004469215e-03
-5.638824750215315484e-01 7.348977178326754345e-02 -6.524516810992951887e-01 -6.182027302593785106e-02 3.378138450880991545e-03 2.729716374865001627e-01 5.587850298200334326e-03 3.436509311308203474e-01 7.342044419023012296e-03
-3.019777131167696860e-01 1.633701197221404389e-02 -1.370370088788697593e+00 -9.895993531215095673e-02 4.260118702332750464e-04 4.989100895942188418e-01 5.045165689729100983e-03 6.280905899906668033e-01 3.942870295318759259e-03
-4.007295121200771942e-02 5.671003237531546670e-02 -2.106468668882082174e+00 -1.962826597868861933e-01 1.387818985993988685e-04 9.118576559486750721e-01 4.959165545146196168e-03 1.147960775012849766e+00 1.406060811027769458e-03
2.218318106927542055e-01 1.688129964915585646e-02 -2.734349561841575849e+00 -4.177313612526766806e-01 1.482093034897271136e-04 1.666601662412735996e+00 3.981628231088296145e-03 2.098127184149797486e+00 3.107593042071181790e-04
4.837365725975161235e-01 -4.757055941074983529e-02 -2.953950629284153084e+00 -5.899367006568010385e-01 1.028558127900474012e-03 3.046046806798136330e+00 2.996380351654752503e-03 3.834745730592652002e+00 5.196677455009545175e-05
7.456413345022779859e-01 2.044766226626559824e-02 -2.999875668043964883e+00 -7.454842341602404554e-01 1.524124587471289895e-03 5.567257826787955111e+00 1.954547569943372066e-03 7.008762352153326880e+00 8.812855878157005364e-06
1.007546096407039737e+00 4.553084244122163060e-02 -2.972364456439795077e+00 -8.569526375828000475e-01 8.055991497354349305e-04 1.017527361718764034e+01 1.219284909775946802e-03 1.280991052863627644e+01 1.394319550554324741e-06
1.269450858311801600e+00 4.590027521739814542e-02 -3.008371740537415295e+00 -9.867483346649954523e-01 1.047009362411659280e-03 1.859734116973173812e+01 6.952904940219231883e-04 2.341266539038114658e+01 2.444352622183836248e-07
1.531355620216563906e+00 4.617361087651061791e-02 -3.299647252012341436e+00 -1.172004907392682371e+00 1.274371858475769042e-04 3.399034872135383978e+01 3.708830822891635132e-04 4.279131376105772944e+01 3.702955969562227067e-08
1.793260382121325769e+00 3.118924512306731067e-02 -3.671846258523222328e+00 -1.518683132196059882e+00 -1.900893787710744359e-03 6.212413891076156602e+01 1.691449201389829706e-04 7.820965716058854866e+01 4.568537578736534138e-09
2.055165144026087631e+00 2.993181286611652503e-01 -3.033165326380515836e+00 6.245469510188369489e-01 -2.056194886002038567e-03 1.135442494880611122e+02 5.939314671426473212e-05 1.429437410436169955e+02 4.417743615076346353e-10
2.317069905930849494e+00 9.140770577569865551e-01 -1.964477300645667723e+00 3.161885927146220077e+00 1.558812539131977128e-02 2.075247531450898464e+02 3.592548172801676818e-04 2.612581853106651124e+02 1.177541756092734448e-10
2.578974667835611356e+00 9.759174729687980498e-01 -2.085438499991143058e+00 2.656200115707843423e+00 4.882233327756427960e-02 3.792928603791494879e+02 2.691301150954451740e-03 4.775014204434083354e+02 4.132269031138242333e-11
2.840879429740373219e+00 9.921612258417943364e-01 -2.929094239718109005e+00 1.747331337158713360e+00 9.122222300593790800e-02 6.932333215884656283e+02 8.845971138810637679e-03 8.727290448501973970e+02 9.519272709126585845e-12
3.102784191645135081e+00 9.976119739865509928e-01 -4.275660586132643104e+00 1.467011706221627465e+00 1.463216510701555728e-01 1.267022104450334609e+03 2.214272634541800469e-02 1.595086324597449902e+03 1.207538898473828640e-12
3.364688953549896944e+00 9.991569356737157737e-01 -7.778923745524305211e+00 1.355929362617741996e+00 2.255360750146547799e-01 2.315735500837276959e+03 5.190153726476592899e-02 2.915338268997941213e+03 5.482416591466612127e-14
