#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.136376397272773842e+00 -4.503626119621033652e+00 -1.132729992141903841e+00 -2.624606121734459618e-01 7.377584775288899450e-03 7.305056894446010363e-02 4.619110841304063797e-04 9.196521759020263864e-02 5.163425466099383181e-03
-9.932740173527783156e-01 -4.350987967402812906e-01 8.921202880399718982e-01 3.948923438502439875e+00 -4.007704183459282442e-03 1.015607694753873913e-01 5.422022193670272827e-03 1.278574335339345558e-01 7.301538326904193597e-03
-8.501716374327827896e-01 1.874580059402308763e-01 1.352995617701413245e-01 4.252237632790473870e-02 3.095939529664588907e-03 1.411979406248690116e-01 6.233889045137348123e-03 1.777576755456515833e-01 9.295376500627701780e-03
-7.070692575127872637e-01 5.400623829576234325e-02 -2.427200891896547086e-01 -3.274871369960893897e-01 -9.214464402356684763e-03 1.963047202151772530e-01 5.576110833528025688e-03 2.471330007340307999e-01 7.982478322236478269e-03
-5.639668775927917377e-01 -5.389796435963600807e-02 -6.690062058530820144e-01 -1.291668847057715064e-01 1.850745327157569909e-03 2.729185922133187669e-01 5.023780903614072715e-03 3.435841510884367067e-01 7.921352509330162675e-03
-4.208644976727962117e-01 -1.614563931471768576e-02 -1.092535813656440036e+00 1.787526043994118741e-01 -2.006413174905203028e-04 3.794333518524381499e-01 5.121099573151771320e-03 4.776782887292718160e-01 5.136472736956953361e-03
-2.777621177528007412e-01 1.501778211378994587e-01 -1.194326637403543501e+00 1.070798148086723606e-01 1.206816047663034639e-03 5.275187275824964050e-01 5.651848826242323806e-03 6.641067313509294578e-01 3.855763520647406163e-03
-1.346597378328051875e-01 1.230137788661058718e-01 -1.894654428106900212e+00 -2.964248699378237845e-02 1.022737583772882373e-03 7.333989133840763674e-01 5.495534933466353529e-03 9.232945290414431572e-01 2.337991989886613851e-03
8.442642087190326342e-03 2.439876925460637835e-01 -2.341854660108273922e+00 -2.696379057532323140e-02 1.228457292466435258e-03 1.019630087102126881e+00 5.542512944731388044e-03 1.283638227282767774e+00 1.106244882310233489e-03
1.515450220071858090e-01 3.299207144868263608e-01 -2.677841752501266992e+00 -1.111082623171576050e-01 -8.177281235138216626e-04 1.417571659230745240e+00 5.398744911090281803e-03 1.784616984844806797e+00 4.995662246564398345e-04
2.946474019271813627e-01 4.150233258158383398e-01 -2.949759309063763268e+00 -7.118893448922131162e-02 1.027455040060610463e-03 1.970822001501937315e+00 5.151183281611840768e-03 2.481117899813831240e+00 1.894262749208640675e-04
4.377497818471769442e-01 5.561198161219678138e-01 -2.971620472793267353e+00 -1.670048268790428059e-01 -4.404468510284632806e-05 2.739995072779500163e+00 5.151316046551705601e-03 3.449449425312921313e+00 7.150854043055282808e-05
5.808521617671722481e-01 6.684758020402570278e-01 -2.954993509730930779e+00 -3.680696146459469520e-01 4.784031480640067681e-04 3.809361268107678722e+00 4.614338242238043807e-03 4.795701703125210713e+00 2.672688193439947066e-05
7.239545416871678851e-01 7.803623802844970037e-01 -2.954384195901461396e+00 -4.613556554044474511e-01 1.300564293525766774e-03 5.296080060552261770e+00 4.041800935904817961e-03 6.667369771125634337e+00 1.020057623437551023e-05
8.670569216071636331e-01 8.531049011434567175e-01 -3.067598854745626991e+00 -5.383122067418395496e-01 -7.048473136310944931e-04 7.363035961593761947e+00 3.404608990444633800e-03 9.269513080004688987e+00 3.814077170466368740e-06
1.010159301527159270e+00 8.964225891367159083e-01 -2.980466336488659884e+00 -6.646208078034727684e-01 2.129560574926425763e-04 1.023668410444490640e+01 2.834701961823484374e-03 1.288722175159510996e+01 1.351024772659082195e-06
1.153261681447154352e+00 9.253100385149595208e-01 -2.881267163516529450e+00 -8.411601026883974708e-01 -9.700220412650534848e-05 1.423186060760630944e+01 2.197098881317329638e-03 1.791685097602795906e+01 5.350148343435217127e-07
