#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 3.728348233535072609e-03 -1.258276327615796220e+00 3.829580417583750007e-01 2.820015991989422832e-03 8.171616960822593312e-02 8.300631249149362234e-02 2.052617376738382626e-01 1.556836494997947407e+00
-8.257872369262934109e-01 3.521521865589982703e-02 -1.419022444800298821e+00 2.407808594284844839e-01 1.581594888197823201e-03 1.493525916316219004e-01 1.016606842503190999e-01 3.751567484302623656e-01 6.914728820368896134e-01
-5.638824750215315484e-01 2.406010924683577024e-02 -1.652062693207698940e+00 1.026417336430550525e-01 2.153588738552872188e-03 2.729716374865001627e-01 1.109773699643831074e-01 6.856737523892917352e-01 2.811548195574900544e-01
-3.019777131167696860e-01 6.693256024281069028e-02 -2.005619823469311669e+00 -2.407545045342588882e-02 -6.554763510957306106e-04 4.989100895942188418e-01 1.150582451942070844e-01 1.253205484594947405e+00 9.427770025972709300e-02
-4.007295121200771942e-02 1.680443644557377825e-01 -2.414903939269159583e+00 -1.722249415604531209e-01 -1.218809247131487968e-03 9.118576559486750721e-01 1.078011709118642664e-01 2.290482873445608192e+00 2.502550026715164369e-02
2.218318106927542055e-01 3.924728985171045403e-01 -2.836566995862915608e+00 -3.592710332721897881e-01 -1.090449491897445392e-04 1.666601662412735996e+00 9.347698182456609661e-02 4.186314102545861893e+00 5.122232621307168041e-03
4.837365725975161235e-01 6.632777707504284859e-01 -3.210350887371842710e+00 -6.152489803313750949e-01 1.229883774921480474e-03 3.046046806798136330e+00 6.989303335189613053e-02 7.651323643739322833e+00 8.176396818294682069e-04
7.456413345022779859e-01 8.619916788637654870e-01 -3.496911885407980147e+00 -8.925200225426517253e-01 -1.086266983042968003e-03 5.567257826787955111e+00 4.450731610259205107e-02 1.398431939582417805e+01 1.066220253794210142e-04
1.007546096407039737e+00 9.522851109343294373e-01 -3.704152501515310725e+00 -1.174474971843067816e+00 -7.386508099007010669e-04 1.017527361718764034e+01 2.381899324366981360e-02 2.555913173591104126e+01 1.204609298075394668e-05
1.269450858311801600e+00 9.850077073205307787e-01 -3.832219941934288610e+00 -1.299917035052164715e+00 -7.269416390743411267e-04 1.859734116973173812e+01 1.079518850468920606e-02 4.671440894640365826e+01 1.223422800801185302e-06
1.531355620216563906e+00 9.957318003250693605e-01 -4.239929508622755527e+00 -1.371438233960251551e+00 4.633351133736481921e-04 3.399034872135383978e+01 4.966088766603921414e-03 8.537989575544771981e+01 1.184385026289969913e-07
