#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.410614651442327672e+00 2.613704895698014674e-01 -3.320652316733424314e+00 3.847756088027709520e+00 -1.178100750996516344e-01 3.884949238138359767e-02 7.458878938968364902e-02 4.890861319422770692e-02 1.200343386903067189e-01
-1.351690142063505906e+00 5.907649415135647342e-01 -1.117517210112817461e+00 7.934823871402296724e-02 -1.383717457453409738e-01 4.449486136317903906e-02 1.291818420092264719e-01 5.601571166436455224e-02 7.323917020142758916e-02
-1.292765632684684141e+00 -5.472930270181497470e-02 1.369232947691960467e+00 -6.464663183313330563e-01 1.595427592595418179e-02 5.096058059891731690e-02 7.621223018282935469e-02 6.415556991576183699e-02 8.863539765775269030e-02
-1.233841123305862597e+00 3.451337123845307220e-01 -1.791155885712978624e-01 6.259538599726569563e-01 -3.928830816939070381e-02 5.836585833544889745e-02 1.083966976887471012e-01 7.347826223967503234e-02 1.061955147686382134e-01
-1.174916613927040832e+00 -1.157735239717094800e-02 -1.982098121306564431e-01 -9.841185313850496774e-01 -1.978624950755726239e-02 6.684722542792351230e-02 9.032182801853526344e-02 8.415567079914614002e-02 8.443035223695787017e-02
-1.115992104548219288e+00 2.728670408786150192e-01 3.249102437670544630e-01 -3.865200516194386982e-01 8.940439193676678539e-03 7.656105255454827285e-02 8.299246201148399726e-02 9.638465461462956962e-02 1.006346041396857377e-01
-1.057067595169397523e+00 -1.228032087784962645e-01 -2.363208224816022718e-01 -4.109499893814755889e-01 -3.061896618281569060e-02 8.768643321749283737e-02 8.132830290036779930e-02 1.103906790470939175e-01 9.221232123476789944e-02
-9.981430857905757570e-01 -8.632808255914370399e-02 2.922963882660080115e-01 1.679111259830554093e-01 9.740085863485568526e-03 1.004284856837310558e-01 7.423497990864079410e-02 1.264319726952557454e-01 9.438373631950222609e-02
-9.392185764117539915e-01 1.595634640331582421e-01 5.316486300346108251e-01 -2.169631832497646018e-01 -8.198926999018743209e-03 1.150221347435912145e-01 8.511965825007512809e-02 1.448042883475197662e-01 9.982419050021612561e-02
-8.802940670329324480e-01 -8.672974855439119501e-02 -3.404322899804247959e-01 -1.136355931357604376e-01 1.274123885821848434e-02 1.317364430111690743e-01 6.999059686078712428e-02 1.658463557661348786e-01 1.090313614128033959e-01
-8.213695576541106824e-01 3.741103460811090464e-02 -4.630129623432198138e-01 7.075217199346047758e-01 -1.879817984077367804e-02 1.508795716226433714e-01 8.253497577338629598e-02 1.899461268363638600e-01 9.101567320858512666e-02
-7.624450482752889169e-01 9.254977610920955833e-02 2.435215730944872287e-02 -2.390881073867706930e-01 -1.578575773813366973e-02 1.728044617927197713e-01 8.480480063482326303e-02 2.175479282222691768e-01 9.615808630794886458e-02
-7.035205388964672624e-01 -4.564298063348015688e-02 -1.992282388063413567e-01 -2.363433097120971049e-01 -2.510363906130145574e-03 1.979153419798685976e-01 7.735025135203950353e-02 2.491606534023895203e-01 9.161910892933086692e-02
-6.445960295176456079e-01 6.732465207797166951e-02 -1.532343014162355632e-01 -7.557923038170428869e-03 4.748979326111177519e-03 2.266751806327409469e-01 7.953670775692767148e-02 2.853671451215906152e-01 9.109760497079495700e-02
-5.856715201388238423e-01 2.620854182778387109e-02 -4.507263796057397465e-01 -9.601664982274724092e-02 -3.238182053327833074e-03 2.596142219237967952e-01 7.719177641670439682e-02 3.268349412430381906e-01 8.788758916089324524e-02
-5.267470107600021878e-01 5.624174410670046420e-02 -5.598196950684993789e-01 -5.878679691356996501e-02 4.885994932832279578e-03 2.973397618431773970e-01 7.749115648887139329e-02 3.743285821212017361e-01 8.061006987432293991e-02
-4.678225013811804778e-01 4.767512866797540827e-02 -5.553653054172916770e-01 -3.654515590747616643e-02 1.689292172532283172e-03 3.405473448943341919e-01 7.597016491135079319e-02 4.287237064065099745e-01 7.550111229672321067e-02
-4.088979920023588788e-01 9.206557967464634729e-02 -6.716936909035310377e-01 -1.447675235938691019e-01 -3.364897420044380728e-03 3.900335878245125842e-01 7.672649011047755208e-02 4.910231951655310012e-01 6.933300782713025523e-02
-3.499734826235372243e-01 8.193444395255611301e-02 -9.055825773229680964e-01 -2.123804172732812467e-01 4.102882856307594138e-04 4.467108668207760425e-01 7.304363178937617329e-02 5.623756619652748867e-01 6.292089730584614349e-02
-2.910489732447154032e-01 1.183484936188792247e-01 -1.221475010919522708e+00 5.768783595874823339e-02 5.331304821725097072e-03 5.116241389589061273e-01 7.242967022896813767e-02 6.440966298226771247e-01 5.422730523190451291e-02
-2.321244638658938042e-01 1.576148034221754868e-01 -1.450256616558317946e+00 3.074570730695385268e-03 -9.174542631386604127e-05 5.859702080416635539e-01 7.419605481606141029e-02 7.376927854579651278e-01 4.516949924397432176e-02
-1.731999544870721219e-01 1.595235692475862610e-01 -1.662143088350521936e+00 -7.046525177785237237e-02 3.957963667534951900e-03 6.711197900300193142e-01 7.249012406114101192e-02 8.448897580267571428e-01 3.658530702208023788e-02
-1.142754451082503564e-01 1.934157772603295466e-01 -1.952762886032694212e+00 -1.773619652797083293e-02 -3.028456960784778242e-03 7.686427848869629154e-01 7.279081008134426212e-02 9.676639344864352843e-01 2.877155561891000385e-02
-5.535093572942868800e-02 2.166756494993251625e-01 -2.186587177994730791e+00 -1.058271657781057612e-01 2.518513861879904795e-04 8.803372207700188579e-01 7.214207832520057317e-02 1.108278898175628635e+00 2.153651926864081148e-02
