#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -1.819069587040966773e-02 -6.222030887184410997e-01 7.761352570627434722e-02 1.099464592266408310e-02 8.171616960822593312e-02 1.735844628395887684e-02 1.295114009260750210e-01 1.178687659560777451e-01
-8.257872369262934109e-01 -2.127568207236141262e-02 -7.740774422049268022e-01 1.196648135435673110e-01 -4.540512967838470845e-03 1.493525916316219004e-01 1.858111552275944905e-02 2.367079057533822140e-01 7.563583816669551541e-02
-5.638824750215315484e-01 -6.719459149352791094e-02 -1.103763730530757048e+00 1.136915231527787784e-01 2.258090883771950077e-03 2.729716374865001627e-01 2.005360327034353199e-02 4.326308899873170244e-01 4.633718004277207619e-02
-3.019777131167696860e-01 3.596095099794871519e-02 -1.699779623024691766e+00 -5.817724164305738271e-02 1.155446065673286331e-03 4.989100895942188418e-01 2.131201366927430035e-02 7.907192046480416847e-01 1.997862843296019028e-02
-4.007295121200771942e-02 4.320517832452019924e-03 -2.342039043611106042e+00 -3.325663566184238751e-01 -2.285374690281956876e-04 9.118576559486750721e-01 1.869470539460887232e-02 1.445196991406603182e+00 5.964428618018829606e-03
2.218318106927542055e-01 4.202480071102576709e-03 -3.052898473989386297e+00 -5.726681202575528706e-01 5.690400328313224452e-04 1.666601662412735996e+00 1.426997003467622184e-02 2.641385629302320126e+00 1.185177269819461194e-03
4.837365725975161235e-01 -6.519911662276944853e-03 -3.684132096331540485e+00 -7.926505346874160862e-01 8.294741164138494469e-04 3.046046806798136330e+00 9.370216171992615251e-03 4.827658848012278625e+00 1.501175781919523913e-04
7.456413345022779859e-01 -1.369164641627684809e-02 -4.148956930918084041e+00 -9.176466907089583236e-01 -1.005302914992090902e-04 5.567257826787955111e+00 5.485612954014329294e-03 8.823509030352083116e+00 1.393156272511667957e-05
1.007546096407039737e+00 5.947812764343973768e-03 -4.483740263330470377e+00 -1.071731560213148526e+00 -1.013338231872191282e-03 1.017527361718764034e+01 3.097972327630335674e-03 1.612672188730986278e+01 1.007322176423862118e-06
1.269450858311801600e+00 -3.816118581815319821e-02 -4.708060628631299593e+00 -1.297446795642541284e+00 1.275222813873960097e-03 1.859734116973173812e+01 1.506058924030839264e-03 2.947479941778463441e+01 6.242721813170543464e-08
1.531355620216563906e+00 8.680337954842121118e-02 -5.679321601517985485e+00 -2.484851142505217769e+00 1.070007560698966629e-03 3.399034872135383978e+01 6.478322230703462527e-04 5.387107229785301143e+01 3.443827575448662909e-09
