#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.279478777192769368e+00 -1.246124408922374194e+00 -1.099025171159107694e+00 4.454287677387846145e+00 -2.276371605694293976e-02 5.254376912142792039e-02 1.036373898386955261e-03
-1.136376397272773842e+00 -4.351040520963045388e-01 1.619836845037567974e+00 1.257543372334994691e+00 4.032934550195932388e-03 7.305056894446010363e-02 2.402660902589559555e-03
-9.932740173527783156e-01 -4.488033959150690144e-01 -1.104609916906598710e-01 1.441967516764507184e+00 -2.020280300216241356e-03 1.015607694753873913e-01 2.373730255798860069e-03
-8.501716374327827896e-01 2.033188827021047418e-01 -1.877284497963023491e-01 1.126879075096341332e+00 9.913034737110137939e-03 1.411979406248690116e-01 6.214274714390436230e-03
-7.070692575127872637e-01 6.461101844018635187e-02 1.674572866613963651e-01 -1.825835894921966907e-01 2.418975256107471893e-03 1.963047202151772530e-01 4.988265037536620920e-03
-5.639668775927917377e-01 6.880698581513045031e-02 -3.039568466433725247e-01 1.207462331745510487e-01 -2.998712815736469424e-03 2.729185922133187669e-01 5.509778700376812000e-03
-4.208644976727962117e-01 7.839577502733008352e-02 -9.618528821039716847e-01 -1.052994638197266436e-01 -1.671623011104396168e-03 3.794333518524381499e-01 5.401416504368054296e-03
-2.777621177528007412e-01 1.250606500459151560e-01 -1.460101572163423178e+00 -1.061440182984526026e-01 9.509708170880962772e-04 5.275187275824964050e-01 5.140400392305251483e-03
-1.346597378328051875e-01 1.707945135898192301e-01 -2.067744731841466344e+00 6.301139472600446323e-02 -8.841864253442874820e-04 7.333989133840763674e-01 5.036498904773541174e-03
8.442642087190326342e-03 2.387736955789994120e-01 -2.492904702012846307e+00 7.291746485647342124e-02 -1.887634213410276226e-03 1.019630087102126881e+00 5.358350387942635053e-03
1.515450220071858090e-01 3.601892669741119102e-01 -2.678223834422339245e+00 -1.807993497176980380e-01 2.319715158142029825e-03 1.417571659230745240e+00 5.284429026009253121e-03
2.946474019271813627e-01 4.253548486441655063e-01 -2.946271556343281084e+00 -8.945321963517904873e-02 5.067628921963932736e-04 1.970822001501937315e+00 4.756477806502776295e-03
4.377497818471769442e-01 5.744226571530367531e-01 -2.957608528894045019e+00 -1.790161704830640077e-01 -9.078684012949411134e-04 2.739995072779500163e+00 4.981912919851635632e-03
5.808521617671722481e-01 6.231861818052017998e-01 -2.771857470642599353e+00 -4.549695277252169823e-01 1.140683548840965055e-03 3.809361268107678722e+00 4.227174680113548154e-03
7.239545416871678851e-01 6.886833435077956977e-01 -2.801049504340686003e+00 -5.467370461284484229e-01 -1.047737450542595203e-04 5.296080060552261770e+00 3.691319931578195424e-03
8.670569216071636331e-01 7.310789640276047496e-01 -2.918804782981283541e+00 -5.219624861846869912e-01 -2.995104754194751200e-04 7.363035961593761947e+00 2.948298487372828531e-03
1.010159301527159270e+00 7.681122920997408565e-01 -2.875363777600539184e+00 -6.422577345227693524e-01 2.566898772862844110e-04 1.023668410444490640e+01 2.616938639695402195e-03
1.153261681447154352e+00 7.876289404462288868e-01 -2.725756072797915319e+00 -8.600769824717180434e-01 6.483014334331859340e-04 1.423186060760630944e+01 1.930875308585889563e-03
