#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.136376397272773842e+00 5.930101530640397023e-01 -5.577974149458834185e-01 8.541901419483787228e-01 -1.834523677825927734e-02 7.305056894446010363e-02 5.536086857318878174e-03 9.196521759020263864e-02 6.196110559319259643e-03
-9.932740173527783156e-01 -2.649794695400125022e-01 7.915917622876051940e-01 -6.433552771133488335e-01 4.324219399882900904e-03 1.015607694753873913e-01 5.372380056688862322e-03 1.278574335339345558e-01 1.152874472669083300e-02
-8.501716374327827896e-01 -4.837516397425232206e-01 -3.501237624004210902e-01 -1.026192354134552315e-01 -3.269305704413233708e-04 1.411979406248690116e-01 3.623026851061228546e-03 1.777576755456515833e-01 1.043942283916649526e-02
-7.070692575127872637e-01 -6.827528511078151396e-02 -5.661349402256752317e-01 8.191914121001356852e-01 -5.156738909682786684e-03 1.963047202151772530e-01 5.021073914676731954e-03 2.471330007340307999e-01 9.153241809497827605e-03
-5.639668775927917377e-01 8.781229239118459873e-02 -6.827892902524780316e-01 8.703466835325054940e-02 2.945372364023229883e-03 2.729185922133187669e-01 6.216243728176578699e-03 3.435841510884367067e-01 7.188627402217122840e-03
-4.208644976727962117e-01 6.605538719015746629e-02 -9.495750213147619023e-01 -3.359162771248922486e-01 -3.754188855088223201e-03 3.794333518524381499e-01 5.317485948829602828e-03 4.776782887292718160e-01 5.836565864662707909e-03
-2.777621177528007412e-01 1.032200705116563810e-01 -1.556876972636047851e+00 -1.124994358882361462e-01 1.331568189119324138e-03 5.275187275824964050e-01 4.981810419540786371e-03 6.641067313509294578e-01 3.844794065396630722e-03
-1.346597378328051875e-01 1.472453578881012248e-01 -2.023075086825304236e+00 4.159563996191158186e-02 -3.803996444620311949e-03 7.333989133840763674e-01 4.937515556376367680e-03 9.232945290414431572e-01 2.092048703303167872e-03
8.442642087190326342e-03 2.569755126251266342e-01 -2.403105984098511172e+00 2.867636538761890799e-02 1.370928260717499229e-03 1.019630087102126881e+00 5.120260617259736989e-03 1.283638227282767774e+00 1.013583107066945779e-03
1.515450220071858090e-01 3.422100443384430424e-01 -2.744235378340436959e+00 -1.019316208802908824e-01 -1.672784448179927275e-03 1.417571659230745240e+00 5.031712159548749896e-03 1.784616984844806797e+00 4.293301811898908474e-04
2.946474019271813627e-01 4.317224948004083629e-01 -2.839474049508017739e+00 -1.513453260088634122e-01 4.977775525443162109e-04 1.970822001501937315e+00 4.787609848795057639e-03 2.481117899813831240e+00 1.661292622084979372e-04
4.377497818471769442e-01 5.055654857495259780e-01 -2.844452557427710193e+00 -1.580475637317520221e-01 -1.110826885297920780e-03 2.739995072779500163e+00 4.554073509907425807e-03 3.449449425312921313e+00 6.608766859167402826e-05
5.808521617671722481e-01 6.257791336340863264e-01 -2.861390623084809182e+00 -3.167241914473287734e-01 1.072425019635503190e-03 3.809361268107678722e+00 4.314046149865384192e-03 4.795701703125210713e+00 2.548885198103491661e-05
7.239545416871678851e-01 6.954422698341455877e-01 -2.838909781682829259e+00 -4.784868149883253485e-01 1.974093595152769576e-04 5.296080060552261770e+00 3.696171086210071899e-03 6.667369771125634337e+00 1.002713391795679931e-05
8.670569216071636331e-01 7.324559437145576890e-01 -2.890068024238964028e+00 -5.311058451551013970e-01 1.607923559134458928e-04 7.363035961593761947e+00 3.147310442646456766e-03 9.269513080004688987e+00 3.925010139464596877e-06
1.010159301527159270e+00 7.590054494771967253e-01 -2.790908016662677404e+00 -6.694750509924402015e-01 9.971399587672927396e-04 1.023668410444490640e+01 2.604636033895357458e-03 1.288722175159510996e+01 1.492882373788285962e-06
1.153261681447154352e+00 8.033241556857679821e-01 -2.784508960465571281e+00 -8.041253081485685295e-01 1.064911631462076621e-03 1.423186060760630944e+01 2.024569251010112803e-03 1.791685097602795906e+01 6.238348381656255621e-07
